settlement_id,txn_id,merchant_id,settled_amount,platform_fee,net_payout,settlement_date,txn_date,settlement_lag_days,settlement_status,bank_ref_no
8faa318a-1e0f-45a3-9c39-bafcac286dd6,5c426613-0ebc-4067-9d7f-2d144978b4cc,MER00093,4270.5,28.58,4241.92,2025-01-16,2025-01-11,5,Settled,BNK628265569
3bd59fa9-9a6f-4fe3-be9e-e36c4c442a32,38c0a016-874d-4a9d-83a8-ea475793e313,MER00253,28972.83,312.5,28660.33,2025-03-17,2025-03-14,3,Settled,BNK419163750
f1756d55-4cc2-4a1f-af47-32fb732e666f,6d6daa09-52d8-4fd8-8b66-fbd60ed62fb6,MER00246,2903.34,53.39,2849.95,2024-02-02,2024-01-29,4,Settled,BNK241691821
5465180f-90d1-4d04-a88e-147c05dc8f78,fb2ba0b2-95ec-4f75-b23b-cc2c55f0108c,MER00140,2086.12,37.57,2048.55,2023-07-25,2023-07-24,1,Settled,BNK446292484
724757d3-aae8-45e5-b66c-372c828d507e,ff915883-91fe-4660-84e1-ec6a77e1d26a,MER00425,43083.96,561.59,42522.37,2024-02-09,2024-02-07,2,Settled,BNK960193690
208f386a-8fd7-400b-99f5-4f781917e0bf,87ba0f3b-a9ca-4d6e-9519-0df35ac0f8cf,MER00204,167802.42,1709.66,166092.76,2023-06-24,2023-06-22,2,Settled,BNK592480110
dce002c6-cbcc-4898-858d-0acf0d9ab91b,bb4c1ce1-ad3c-4857-b587-a4b590bc8f19,MER00539,4634.01,57.33,4576.68,2024-04-11,2024-04-09,2,Settled,BNK733521538
61b051b3-1539-4449-9eda-cac63f3dda93,4db311ad-ad8c-464c-b691-024ba450795b,MER00633,14627.35,288.82,14338.53,2023-09-13,2023-09-12,1,Settled,BNK324951168
273aabee-4f1a-4eab-b666-3d0ba51b20f9,80b68759-32ef-40a1-803f-2620d8fb6de5,MER00393,7230.31,92.23,7138.08,2025-01-25,2025-01-23,2,Settled,BNK153006993
f4b78958-dae8-4da3-ad55-12077855504c,c64dba6a-4e3b-4f01-8e48-46abc930b83e,MER00006,2909.74,34,2875.74,2024-09-27,2024-09-26,1,Settled,BNK773507755
a6fe97ff-1047-4358-99b7-81a9eccdd9d9,00eb03d7-9d74-4dfa-87f6-840b7300f1fe,MER00136,4510.14,41.56,4468.58,2024-12-29,2024-12-28,1,Pending,BNK227696709
dddc4a96-c2fa-40f8-9729-e953824cbf53,42789d37-2529-4fc1-bd91-39fc95207e0c,MER00570,8603.82,152.37,8451.45,2024-11-05,2024-11-04,1,Settled,BNK457056105
30e3e369-eaf7-4c8c-8946-debd644a65a7,6547bfda-589f-4baf-b9e8-ac5d0f4aa708,MER00358,92110.05,1715.29,90394.76,2023-10-19,2023-10-18,1,Settled,BNK111120906
c241a572-504e-4c01-b0ab-a7bb45931aee,1df78a2b-5893-49ac-bf28-3b9589680c3d,MER00030,4269.77,47.68,4222.09,2024-12-29,2024-12-25,4,Settled,BNK668157818
5beecaa9-7711-4e67-9d4b-3df06c9e3687,f5e48470-b90f-45d8-b6c2-32c7bc3e1bd7,MER00022,86711.12,1154.53,85556.59,2023-06-18,2023-06-16,2,Pending,BNK403137275
75fb75f9-df49-4d78-a383-17b77d4882c3,ae06fdd7-f037-460e-bdff-9efd6a8c48c0,MER00629,7217.96,116.16,7101.8,2024-10-08,2024-10-07,1,Settled,BNK886091834
7fcb52c2-dda5-494c-b389-8cb529d7605f,b7dfce66-65e3-4b92-a286-885fc7240491,MER00310,4453.78,35.83,4417.95,2023-05-20,2023-05-19,1,Settled,BNK989448997
3755b3f9-dc0f-403d-a9b2-f32f9d2739ac,48e50358-da9b-4a6f-acd1-f36ae9101a98,MER00089,10425.7,167.1,10258.6,2024-04-20,2024-04-19,1,Settled,BNK712282899
ac497a25-1931-45e4-b5d7-55caed7bc173,a0b9384e-374c-448a-8be1-f99ad00af227,MER00600,31836.67,376.2,31460.47,2023-11-03,2023-10-29,5,Settled,BNK528673445
174ea514-8b55-4ffa-b50b-2fcfb994d485,5b0cd0b1-4ef9-4575-af10-57995d0cc695,MER00373,3678.77,36.42,3642.35,2023-05-24,2023-05-22,2,Settled,BNK662857219
8c310da2-f4c3-4e33-b48f-e9a5e1c8b757,9e30e1b2-7f1d-4648-9deb-43258d621983,MER00529,81514.66,884.88,80629.78,2024-01-08,2024-01-06,2,Settled,BNK993976900
2c698bd3-0b04-4569-830f-c560b65afb81,0393e71e-93bd-4965-831b-8345e3abc2b4,MER00063,13011.46,107.19,12904.27,2023-02-09,2023-02-07,2,Settled,BNK796763523
310f68cf-acda-4a5f-a02d-6786f9aaca2e,17beaae2-5322-4f50-9cb7-1af6f966f004,MER00434,29902.33,435.49,29466.84,2024-12-07,2024-12-06,1,Pending,BNK186941284
67229db2-bb2b-436a-a5f3-59047fdb390b,acad0559-5be8-4bda-ba81-a2c81f75887b,MER00121,43432.06,393.51,43038.55,2024-01-21,2024-01-19,2,Settled,BNK122143226
82cbd0c9-7c4c-4a92-acad-9017185c16be,b4caa6f8-72fa-43a1-bf54-dc9e4715df19,MER00221,2239.23,18.22,2221.01,2025-01-29,2025-01-27,2,Settled,BNK907490919
be94f25a-c0ab-4666-b2e4-315c611a4747,f183966c-e170-4335-a58a-827033deb6a9,MER00253,23363.39,235.47,23127.92,2024-10-30,2024-10-29,1,Failed,BNK579237152
c3b6c3ce-7484-4cc5-b1fa-697281bf93d5,40a4620b-ee9b-4804-a2b5-adc9cae26e40,MER00403,17067.68,312.02,16755.66,2025-03-18,2025-03-17,1,Settled,BNK389402713
fb077fa5-71d1-46a7-956f-1f52bc302ac1,f1a5a3d5-8d2f-4f35-95fc-3638d2228a0a,MER00075,399087.26,7409.01,391678.25,2024-09-28,2024-09-26,2,Settled,BNK415446972
f2dafee5-2a98-4fb2-9ee3-e8a0eef56013,833a18c1-6099-40ad-ba5e-4d30bb8996ab,MER00131,15580.2,259.73,15320.47,2024-03-30,2024-03-28,2,Disputed,BNK381558785
ad20ad0a-bead-4b47-b530-1da4c0cdabb7,ab741b77-d5b2-475d-bc6c-d0ea5bc45af8,MER00099,6364.37,68.64,6295.73,2024-02-26,2024-02-25,1,Settled,BNK545243033
6d646135-a1f8-465d-af3a-2bbf16dc6c24,d126162c-5fab-40b2-94e5-1723dd3f5014,MER00348,20225.8,212.21,20013.59,2024-11-26,2024-11-22,4,Settled,BNK980181171
901e0722-7027-4882-b428-1cbd53298433,b95a5eb7-c9d9-4ecc-a65e-2f622ac5edbc,MER00522,9176.01,158.92,9017.09,2024-03-09,2024-03-07,2,Settled,BNK716051065
a217f44e-f0a3-4dd4-96ca-23f91988b327,3b097337-c5b3-4b11-aa62-f16a35647bbd,MER00059,2755.18,24.67,2730.51,2024-07-28,2024-07-26,2,Settled,BNK320685254
f78782c8-ab29-498f-a1da-4b3ab723b337,0c166f4c-ca9c-47d4-8aad-6f9e941f7d91,MER00615,7077.93,135.44,6942.49,2024-08-16,2024-08-15,1,Settled,BNK441439961
bbf13dc6-1f70-451b-a869-b5924b1a6ad4,ab8e44ff-f759-4299-8fb1-d340586c1d85,MER00197,16911.53,237.76,16673.77,2024-12-13,2024-12-12,1,Settled,BNK936145731
99f7c470-e899-48c6-a3a0-1b16e8d123a9,f97dec84-f7dd-42d0-8b25-74297281616a,MER00486,34150.19,622.35,33527.84,2024-02-17,2024-02-15,2,Settled,BNK246973748
62fd22c1-ca9e-4e1f-8e7c-dc6b016b6a60,8618339f-6941-4bb4-808f-f4bd3a9d4e5e,MER00342,2368.14,45.91,2322.23,2023-12-05,2023-12-04,1,Settled,BNK940178105
5c67b8b0-1ed6-4992-8567-fc73b5c55ba5,b06e5957-0cde-43f1-8e76-355d79312fcb,MER00440,79311.8,1020.51,78291.29,2024-12-19,2024-12-15,4,Settled,BNK375872615
94c88d21-695b-4353-acc4-73f11210800b,20dde2b8-c671-4019-9080-52d535e3d791,MER00112,3623.99,30.06,3593.93,2024-04-08,2024-04-07,1,Pending,BNK307022917
84494fc5-e0d2-4c89-80d5-161133fac39d,b5e858ee-4917-4870-a4df-cc2620fecb2b,MER00072,460105.39,8155.16,451950.23,2024-02-02,2024-01-31,2,Settled,BNK379613383
2b2f5697-cbb7-4f15-b1f2-e4b6d734f4f7,e263de24-99c4-40e1-bb79-80851b55d151,MER00161,495317.81,8736.68,486581.13,2023-05-17,2023-05-13,4,Settled,BNK723474781
f460c8cc-ec26-44c5-b2d5-dd39b5127556,bb7b735a-6f60-4d5b-931e-24844117cfbd,MER00246,8912.65,145.03,8767.62,2023-06-12,2023-06-11,1,Settled,BNK915412236
243242e4-c97b-416f-96a3-ae1bc94adaa9,e7ce9c62-3dd9-4caa-9d0e-9afab9ac5c46,MER00079,23151.11,353.8,22797.31,2024-06-03,2024-05-31,3,Settled,BNK924217057
25b5e5fc-4ad0-409a-a2e3-b2e993fec7d0,e92367ef-3ad5-49c0-b196-7d41bea8c27b,MER00449,5927.16,109.62,5817.54,2023-10-16,2023-10-13,3,Settled,BNK748617454
fb53c2be-c837-4187-b59f-c0e9fceb9764,a01294e0-9602-4f7f-818d-0894478c33b1,MER00280,1958.22,16.65,1941.57,2024-01-04,2024-01-02,2,Settled,BNK483274305
1141214c-28aa-46c4-b2ff-b64da6c629a8,3a0cc804-9178-4daf-9ebe-3cb7fd09c782,MER00400,360656.02,4040.43,356615.59,2024-04-01,2024-03-30,2,Settled,BNK554184138
2c9358be-e2b5-41ba-a7ef-e0c7fea707c7,bec1f823-55e1-4155-908b-31c23b58f3c8,MER00432,2782.44,26.67,2755.77,2023-01-17,2023-01-15,2,Settled,BNK684397699
45eb217d-ae84-4ff6-bdf3-3279f7fe735b,49e7aa05-8f59-4610-b8ce-94563d4210c0,MER00172,918.12,17.86,900.26,2024-06-09,2024-06-08,1,Settled,BNK795649245
cd778f24-a17e-4ee5-8347-8a71b6f79de5,acabaa63-cf54-40a0-b392-6d92c3590362,MER00109,3887.48,34.1,3853.38,2023-06-30,2023-06-27,3,Settled,BNK213011620
3781745c-be6d-4a60-9a59-fa41c8e24045,96d8d16a-78a8-4b9e-b0db-42a3494436c0,MER00045,1139.65,15.37,1124.28,2023-08-13,2023-08-12,1,Settled,BNK564773344
f4f582dc-4825-4008-baa5-12c7b1157a3b,f7fd488e-d252-40cb-a3ab-b1fa61d0992d,MER00141,4057.97,57.52,4000.45,2023-11-02,2023-10-31,2,Settled,BNK297183143
a96c3674-e823-4b53-beaf-5ab75c1f021e,315d9e45-7193-44e2-8c04-181b002d419e,MER00054,6526.49,127.13,6399.36,2023-05-27,2023-05-25,2,Settled,BNK484287782
d017a05e-5d24-4199-946d-0887d041db86,4187188a-ecb7-40eb-951e-aebeb71e3c67,MER00203,2826.79,43.81,2782.98,2023-07-02,2023-06-30,2,Settled,BNK834847477
4d33d1bf-a3da-4b16-8a37-672f8687c9a2,8b231331-e00c-4992-817f-7a8976d3fa00,MER00152,2982.64,19,2963.64,2024-04-12,2024-04-11,1,Settled,BNK463810430
9f273306-0f4a-4305-ae2a-ea670442a448,753f9bbf-e058-4b9e-8d7b-6e72d7c0095c,MER00422,23068.94,439.81,22629.13,2025-01-16,2025-01-15,1,Settled,BNK183524430
b76628eb-276c-4b04-a824-09a73ac55a18,6155f2ba-27e7-4c87-866e-78ba03ab1f23,MER00138,2381.2,45.66,2335.54,2023-07-07,2023-07-06,1,Settled,BNK618789179
3e4ee75f-ca2e-4ee0-9d94-eea8e8e9712e,c03a538b-a868-4bad-a0d1-02133b13b535,MER00419,14340.45,129.48,14210.97,2024-10-03,2024-10-01,2,Settled,BNK282638103
4ee546f3-a0fc-4fe1-b8c4-6b6ef70ad6f5,fa6605ee-16ad-4236-9f25-a861c80db21c,MER00490,15585.44,252.05,15333.39,2025-02-18,2025-02-17,1,Settled,BNK190919111
a0623f67-6bed-40bc-93ba-823f90bb3f1f,aa2a3415-b851-4427-9436-2657d8f40c96,MER00365,26446.17,508.17,25938,2023-04-14,2023-04-13,1,Disputed,BNK803454817
2895a2a7-32ad-4b1b-b524-e88bb8621742,5cd12731-c6ad-49d3-a393-bd49c08e06e1,MER00378,50672.63,587.29,50085.34,2024-12-04,2024-12-03,1,Pending,BNK713759057
d9564e28-f8e2-4931-9fbd-d2bb884edca0,e6fd3d04-8e45-4182-9d48-17ffb3751130,MER00395,10228.16,199.42,10028.74,2023-07-20,2023-07-19,1,Settled,BNK521928390
490cc8ab-abc5-4f30-8566-322b4edcd6ce,a00e4c6d-2ecf-4dcf-ab4b-021ca4d39ca4,MER00173,9015.88,85.5,8930.38,2023-04-30,2023-04-29,1,Failed,BNK916801031
5e411309-d725-46dd-8186-fa255cf5f359,f64e4bdf-b0a2-45cd-9fa2-335b483ab8d7,MER00093,8057.63,53.46,8004.17,2023-12-08,2023-12-07,1,Settled,BNK634679272
39a912e6-e3bb-4c6b-9628-87ad1631658f,97b09000-e538-4809-91d9-58dbeb5d8044,MER00576,96962.32,596.83,96365.49,2024-03-25,2024-03-23,2,Settled,BNK950021231
d7d3d84f-bb4c-4fa7-8a32-e64ecde46683,3b1f06c9-2cd3-4dd3-a6bb-d1596a56caf0,MER00131,86799.73,1517.33,85282.4,2024-01-26,2024-01-25,1,Settled,BNK709075741
f5f6149c-8ed1-4c88-a5b1-acdd395b5505,6cdd1615-8e25-4a1d-a799-d256e4302183,MER00647,25203.24,235.69,24967.55,2024-05-22,2024-05-21,1,Settled,BNK487858775
27d7440b-10ab-4eee-a2db-44d8af1402f8,51ac1486-7ba3-4114-9974-a4e7e3bfa80f,MER00184,25989.81,306.48,25683.33,2025-01-15,2025-01-14,1,Disputed,BNK789398601
c0c08f16-e919-40bd-a843-c2d6064f131f,7997e65e-ff6e-4de4-b8ef-c911ed079962,MER00469,20329.75,301.11,20028.64,2024-08-15,2024-08-14,1,Settled,BNK964313062
74c55046-b0cd-4ad0-a9ba-96dbf9832228,2e5f354f-1745-4c9a-8198-fbb1519e1170,MER00590,1468.5,23.25,1445.25,2025-03-17,2025-03-15,2,Disputed,BNK968578687
bc18cad9-e9e3-4bcb-925b-d165ad7c5fe1,77f7e974-53e8-4dda-a01b-efbc47e408b7,MER00528,6675.93,80.08,6595.85,2024-08-31,2024-08-30,1,Settled,BNK763295516
0af204e1-7079-42cd-9953-98407ce34936,a965ce15-e53c-4fe5-b86d-cf5f0fe886b9,MER00522,8298.18,151.88,8146.3,2024-08-24,2024-08-23,1,Settled,BNK670495078
282aef61-8383-4d00-a470-7be29d6a7728,d5201c5d-c4f8-4327-bc2d-58ba41b94158,MER00532,8452.87,83.64,8369.23,2024-07-06,2024-07-05,1,Pending,BNK191763223
e6d4fd49-c654-461e-85b3-abba7ce5ba1e,08f6982e-87d2-4061-9479-112aee488ed8,MER00536,9152.44,59.87,9092.57,2023-12-28,2023-12-27,1,Settled,BNK472477125
31da0002-f774-42b2-baed-0acc95139686,4ee887dc-b5c0-415e-b6d8-fd965bd185a5,MER00617,59686.36,394.44,59291.92,2024-08-31,2024-08-28,3,Pending,BNK681631006
3b063dd1-9f4a-4685-807d-59da8f0c2377,88cc224a-643a-4862-b199-4a0e9ae76038,MER00468,4331.11,77.08,4254.03,2023-09-19,2023-09-18,1,Settled,BNK702514817
987e1d4a-5a1c-4687-b8e4-c890e2bd8115,a3b8e71e-94f8-415a-b321-4b6400b997d6,MER00080,9563.51,159.11,9404.4,2024-06-29,2024-06-28,1,Settled,BNK799572636
953f6562-3eac-438f-9218-749030c57ec4,644adccc-69d3-4e4f-bf69-fc02380d4c80,MER00489,63307.91,461.34,62846.57,2023-09-25,2023-09-23,2,Settled,BNK374793448
1bb22b29-de3e-40bc-a7e7-589814755aa6,839f078d-95ea-478f-8b2c-59dc7d5f91f8,MER00090,95270.92,1790.98,93479.94,2024-02-23,2024-02-21,2,Settled,BNK271959168
3837236c-e1c2-4d87-a005-774b532822d3,1bbc7bff-d004-4bf9-80a4-e5d36b3eb3d6,MER00622,14562.26,246.54,14315.72,2023-06-27,2023-06-22,5,Settled,BNK111525980
31bfb88f-43a4-495a-8131-e2eb14191a27,849830d7-5552-4440-adef-badebbf7b574,MER00508,4101.4,28.35,4073.05,2024-01-19,2024-01-18,1,Settled,BNK881000018
a3f880a0-774a-44d4-8139-692524c82a5e,dc6dfe35-9504-4703-a9dc-5b41024400f6,MER00632,7590.02,74.51,7515.51,2023-02-24,2023-02-22,2,Settled,BNK704060136
3b8c64c7-64cd-467c-96ca-7e2ef2c49030,ae941c82-9876-41fe-bb13-7ce71c7470fe,MER00312,5081.54,93.03,4988.51,2024-01-09,2024-01-08,1,Settled,BNK605957856
ba5e87ab-c04b-46cd-ba76-768ffa34d3e9,068e3466-622d-48e6-b8d1-908c958d9830,MER00340,42451.18,756.89,41694.29,2024-01-09,2024-01-06,3,Settled,BNK241408715
ad898cd4-5eaa-4946-a530-015668fc57fa,6aa566ed-ad7f-4389-ac57-48ccf3769bba,MER00375,50363.4,731.51,49631.89,2025-01-06,2025-01-04,2,Settled,BNK647248691
9ccd034d-2ae7-4e18-8d6e-c3fdc9bd2e99,1e4e66b4-ca17-4d7a-8d2e-b4dd26580329,MER00580,3702.21,24.99,3677.22,2024-12-12,2024-12-11,1,Settled,BNK120852580
8a99197a-19af-4e52-b90e-b6fefa48bf9d,655498ae-1a12-48e0-93bb-96d794498563,MER00275,5745.43,38.99,5706.44,2023-06-26,2023-06-25,1,Settled,BNK201143508
ba4b30f3-1530-4d70-ae06-fb52c69c057b,3e859889-e560-41a5-8937-3beb75cebe4e,MER00392,28478.38,271.36,28207.02,2023-09-22,2023-09-21,1,Pending,BNK842232630
97da911c-a2eb-412e-a166-ffd929f809b9,9549c29b-d223-453a-b206-6bce8510eb5d,MER00185,6651.86,84.91,6566.95,2023-01-23,2023-01-22,1,Settled,BNK868811417
ad48f511-93b8-427e-ad60-ad8e98b4df1b,3297cf61-8cb2-4531-aad3-4441a4f21a3f,MER00255,23563.29,291.31,23271.98,2023-10-03,2023-10-02,1,Settled,BNK959464782
2ff276fe-4ea1-4f3b-a5f9-1c647ac60197,66bc0d73-ff15-47bc-abe5-80a1592c38a6,MER00143,15451.91,286.32,15165.59,2024-07-31,2024-07-30,1,Settled,BNK246680547
f000b979-b842-4803-891f-21cabfd57bb1,3e0035dd-f9e4-4037-bf0b-ef5a6b5b752f,MER00022,84243.24,515.64,83727.6,2023-04-18,2023-04-16,2,Settled,BNK876530159
0f185491-d2a0-4fbc-b164-984d7cc88068,36a3aa0e-71d8-4c2e-baf7-5b83febec07a,MER00540,5989.83,104.96,5884.87,2024-12-13,2024-12-11,2,Settled,BNK688533776
ad2cdf48-e45d-463e-b77e-732bbfa98d10,0905648e-051a-42dc-9961-0cd91b8ce016,MER00489,85369.35,1090.95,84278.4,2023-06-13,2023-06-11,2,Disputed,BNK797877814
1a514ddf-072c-4a6f-988b-47f7fac8b0c8,deb057f8-3530-481a-aed4-930e0ff278d2,MER00144,22947,218.32,22728.68,2024-12-17,2024-12-16,1,Settled,BNK521935730
c04f2a6a-6282-4b9e-a176-cf1a336ccc3b,95b94f39-bff3-4d15-8f98-579f886ff062,MER00129,22807.77,424.33,22383.44,2024-02-16,2024-02-15,1,Settled,BNK176822775
1a344d07-b322-4647-bbef-00f9c10b5ba1,bf9760cb-367f-4587-8274-bdc85675557d,MER00390,24834.19,194,24640.19,2024-01-18,2024-01-16,2,Settled,BNK714571400
38e42443-9885-4b6d-88e9-820671ee643a,95f70a88-9ee5-486f-b5d6-e981dbcc68d8,MER00167,5644.9,34.8,5610.1,2023-03-09,2023-03-08,1,Settled,BNK947220794
ab455f62-7215-412d-be82-3369e5e0f080,8f810004-2621-49a1-aa09-b894cf821305,MER00584,60831.71,934.71,59897,2024-08-03,2024-07-31,3,Settled,BNK345603079
8dcc752b-13db-4aac-8b1c-609f3920b64b,7a03d182-7c94-4acc-b60e-f15a6ec43044,MER00602,24289.94,425.93,23864.01,2024-05-04,2024-05-03,1,Settled,BNK152977833
